r.num,Duration,Epidemic,Rt,ep_high,ep_low,
8646,12.50,0.00,2.03,0.00,0.00,
8647,8.50,0.00,1.99,0.00,0.00,
8648,286.25,662.00,0.48,411.00,251.00,
8649,286.75,658.00,0.49,437.00,221.00,
8650,226.75,691.00,0.45,439.00,252.00,
8651,335.75,675.00,0.44,424.00,251.00,
8652,9.50,1.00,1.98,1.00,0.00,
8653,9.50,0.00,1.98,0.00,0.00,
8654,221.50,592.00,0.61,376.00,216.00,
8655,244.25,635.00,0.56,416.00,219.00,
8656,316.50,694.00,0.44,421.00,273.00,
8657,263.00,694.00,0.43,439.00,255.00,
8658,260.50,691.00,0.46,443.00,248.00,
8659,245.00,729.00,0.38,472.00,257.00,
8660,254.75,662.00,0.50,439.00,223.00,
8661,22.00,0.00,2.03,0.00,0.00,
8662,256.25,672.00,0.45,411.00,261.00,
8663,243.50,719.00,0.38,448.00,271.00,
8664,23.00,0.00,1.98,0.00,0.00,
8665,13.25,0.00,1.99,0.00,0.00,
8666,15.00,0.00,1.98,0.00,0.00,
8667,17.00,0.00,1.98,0.00,0.00,
8668,25.50,3.00,1.97,3.00,0.00,
8669,365.25,719.00,0.38,447.00,272.00,
8670,220.75,683.00,0.46,427.00,256.00,
8671,37.50,2.00,2.04,1.00,1.00,
8672,46.50,1.00,2.02,0.00,1.00,
8673,251.75,675.00,0.45,426.00,249.00,
8674,260.75,660.00,0.50,428.00,232.00,
8675,8.00,0.00,1.96,0.00,0.00,
8676,192.25,721.00,0.39,452.00,269.00,
8677,324.75,639.00,0.51,412.00,227.00,
8678,27.25,1.00,2.02,1.00,0.00,
8679,22.50,1.00,2.01,1.00,0.00,
8680,221.50,675.00,0.43,437.00,238.00,
8681,8.50,0.00,1.94,0.00,0.00,
8682,28.00,0.00,1.99,0.00,0.00,
8683,17.00,0.00,2.01,0.00,0.00,
8684,6.00,0.00,2.05,0.00,0.00,
8685,5.25,0.00,1.99,0.00,0.00,
8686,4.25,0.00,2.00,0.00,0.00,
8687,253.50,663.00,0.48,430.00,233.00,
8688,242.50,690.00,0.43,448.00,242.00,
8689,234.25,677.00,0.45,424.00,253.00,
8690,245.50,707.00,0.40,445.00,262.00,
8691,282.25,669.00,0.48,424.00,245.00,
8692,316.00,688.00,0.42,403.00,285.00,
8693,227.75,702.00,0.42,428.00,274.00,
8694,232.50,675.00,0.45,438.00,237.00,
8695,265.25,736.00,0.34,448.00,288.00,
8696,35.00,2.00,1.89,2.00,0.00,
8697,229.75,671.00,0.47,423.00,248.00,
8698,275.00,679.00,0.46,419.00,260.00,
8699,279.75,661.00,0.53,433.00,228.00,
8700,30.25,0.00,1.99,0.00,0.00,
8701,21.00,1.00,2.00,1.00,0.00,
8702,295.50,678.00,0.44,416.00,262.00,
8703,219.25,712.00,0.40,456.00,256.00,
8704,367.25,657.00,0.48,431.00,226.00,
8705,258.25,713.00,0.40,472.00,241.00,
8706,19.00,3.00,2.02,3.00,0.00,
8707,222.50,680.00,0.46,459.00,221.00,
8708,326.00,645.00,0.51,438.00,207.00,
8709,273.75,734.00,0.37,492.00,242.00,
8710,4.00,0.00,2.02,0.00,0.00,
8711,308.25,630.00,0.53,406.00,224.00,
8712,259.00,655.00,0.48,431.00,224.00,
8713,270.75,675.00,0.45,442.00,233.00,
8714,279.75,678.00,0.45,457.00,221.00,
8715,299.50,687.00,0.44,403.00,284.00,
8716,265.75,707.00,0.44,459.00,248.00,
8717,59.50,1.00,2.00,1.00,0.00,
8718,289.50,681.00,0.46,456.00,225.00,
8719,286.75,643.00,0.51,406.00,237.00,
8720,7.50,0.00,2.05,0.00,0.00,
8721,19.75,0.00,1.95,0.00,0.00,
8722,265.25,630.00,0.53,401.00,229.00,
